rcv	1464.25	ACK	29867	0
snd	1464.28	DATA	33867	1000
rcv	1464.30	ACK	30867	0
snd	1464.33	DATA	34867	1000
rcv	1464.35	ACK	31867	0
snd	1464.38	DATA	35867	1000
rcv	1464.40	ACK	33867	0
rcv	1464.42	ACK	34867	0
rcv	1464.49	ACK	35867	0
rcv	1464.54	ACK	36867	0
snd	1567.89	DATA	31867	1000
rcv	1568.08	ACK	32867	0
snd	1568.15	DATA	36867	1000
snd	1568.19	DATA	37867	1000
snd	1568.22	DATA	38867	1000
snd	1568.25	DATA	39867	1000
snd	1568.28	DATA	40867	1000
rcv	1568.31	ACK	37867	0
snd	1568.34	DATA	41867	1000
rcv	1568.36	ACK	38867	0
snd	1568.39	DATA	42867	1000
rcv	1568.41	ACK	39867	0
snd	1568.45	DATA	43867	1000
rcv	1568.46	ACK	40867	0
snd	1568.50	DATA	44867	1000
drp	1568.53	ACK	41867	0
rcv	1568.60	ACK	42867	0
rcv	1568.64	ACK	43867	0
rcv	1568.69	ACK	44867	0
rcv	1568.74	ACK	45867	0
snd	1670.10	DATA	40867	1000
drp	1670.26	ACK	41867	0
snd	1774.58	DATA	40867	1000
rcv	1774.86	ACK	41867	0
snd	1774.96	DATA	45867	1000
snd	1775.00	DATA	46867	1000
snd	1775.04	DATA	47867	1000
snd	1775.07	DATA	48867	1000
snd	1775.10	DATA	49867	1000
rcv	1775.13	ACK	46867	0
snd	1775.17	DATA	50867	1000
rcv	1775.19	ACK	47867	0
snd	1775.22	DATA	51867	1000
rcv	1775.24	ACK	48867	0
drp	1775.25	DATA	52867	1000
rcv	1775.32	ACK	49867	0
snd	1775.39	DATA	53867	1000
rcv	1775.42	ACK	50867	0
snd	1775.47	DATA	54867	1000
rcv	1775.49	ACK	51867	0
snd	1775.53	DATA	55867	1000
rcv	1775.55	ACK	52867	0
snd	1775.58	DATA	56867	1000
rcv	1775.62	ACK	54867	0
drp	1775.64	ACK	55867	0
rcv	1775.66	ACK	56867	0
rcv	1775.70	ACK	57867	0
snd	1879.80	DATA	52867	1000
rcv	1880.01	ACK	53867	0
snd	1880.08	DATA	57867	1000
snd	1880.12	DATA	58867	1000
rcv	1880.21	ACK	58867	0
drp	1880.26	ACK	59867	0
snd	1984.95	DATA	54867	1000
rcv	1985.12	ACK	55867	0
snd	1985.19	DATA	59867	1000
snd	1985.23	DATA	60867	1000
snd	1985.26	DATA	61867	1000
snd	1985.29	DATA	62867	1000
rcv	1985.32	ACK	60867	0
drp	1985.39	ACK	61867	0
rcv	1985.44	ACK	62867	0
rcv	1985.49	ACK	63867	0
snd	2088.77	DATA	58867	1000
rcv	2088.98	ACK	59867	0
snd	2089.04	DATA	63867	1000
snd	2089.07	DATA	64867	1000
rcv	2089.16	ACK	64867	0
rcv	2089.25	ACK	331	0
snd	2189.20	DATA	60867	1000
rcv	2189.39	ACK	61867	0
snd	2189.45	DATA	331	1000
snd	2189.49	DATA	1331	1000
snd	2189.52	DATA	2331	1000
drp	2189.53	DATA	3331	1000
drp	2189.54	DATA	4331	1000
drp	2189.59	ACK	1331	0
rcv	2189.67	ACK	2331	0
rcv	2189.74	ACK	3331	0
snd	2293.21	DATA	331	1000
rcv	2293.43	ACK	1331	0
snd	2293.48	DATA	5331	1000
snd	2293.50	DATA	6331	1000
snd	2293.51	DATA	7331	1000
rcv	2293.54	ACK	6331	0
drp	2293.59	ACK	7331	0
rcv	2293.62	ACK	8331	0
snd	2398.43	DATA	3331	1000
drp	2398.66	ACK	4331	0
snd	2502.84	DATA	3331	1000
rcv	2503.08	ACK	4331	0
snd	2503.15	DATA	8331	1000
rcv	2503.31	ACK	9331	0
drp	2603.98	DATA	4331	1000
snd	2705.36	DATA	4331	1000
rcv	2705.62	ACK	5331	0
snd	2705.70	DATA	9331	1000
snd	2705.74	DATA	10331	1000
rcv	2705.85	ACK	10331	0
rcv	2706.00	ACK	11331	0
snd	2807.59	DATA	6331	1000
rcv	2807.89	ACK	7331	0
snd	2807.98	DATA	11331	1000
snd	2808.02	DATA	12331	1000
snd	2808.05	DATA	13331	1000
snd	2808.09	DATA	14331	1000
snd	2808.12	DATA	15331	1000
rcv	2808.15	ACK	12331	0
snd	2808.19	DATA	16331	1000
rcv	2808.21	ACK	13331	0
snd	2808.26	DATA	17331	1000
rcv	2808.28	ACK	14331	0
snd	2808.31	DATA	18331	1000
rcv	2808.38	ACK	15331	0
snd	2808.45	DATA	19331	1000
rcv	2808.48	ACK	16331	0
snd	2808.52	DATA	20331	1000
rcv	2808.55	ACK	17331	0
snd	2808.58	DATA	21331	179
rcv	2808.69	ACK	18331	0
rcv	2808.71	ACK	19331	0
rcv	2808.73	ACK	20331	0
rcv	2808.75	ACK	21331	0
drp	2808.83	ACK	21510	0
snd	2909.61	DATA	21331	179
rcv	2909.82	ACK	21510	0
snd	2909.93	FIN	21510	0
rcv	2910.25	ACK	21511	0
Original data sent:     125179
Original data acked:    126
Original segments sent: 126
Retransmitted segments: 26
Dup acks received:      0
Data segments dropped:  12
Ack segments dropped:   15
